Metod: PATCH | statuskod: 200 | endpoint: /books/8ae284b4-64a0-4755-a4ba-7809ae644fd3 uppdaterar bok Måndag 13 juni 2022 Kl 13:24:57 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books/available undefined Måndag 13 juni 2022 Kl 13:25:17 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:26:10 localhost:4000
Metod: POST | statuskod: 404 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:26:20 localhost:4000
Metod: POST | statuskod: 404 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:26:23 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users undefined Måndag 13 juni 2022 Kl 13:27:14 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:27:27 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 13:27:33 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/0b9390ba-ab4d-41a2-9165-0d1a88f58dce ta bort bok Måndag 13 juni 2022 Kl 13:30:48 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/0b9390ba-ab4d-41a2-9165-0d1a88f58dce ta bort bok Måndag 13 juni 2022 Kl 13:30:50 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/0daac7b1-08d9-4dc9-beb3-fd7c7f993ee7 ta bort bok Måndag 13 juni 2022 Kl 13:31:30 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users undefined Måndag 13 juni 2022 Kl 13:31:35 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books undefined Måndag 13 juni 2022 Kl 13:31:38 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/0b9390ba-ab4d-41a2-9165-0d1a88f58dce ta bort bok Måndag 13 juni 2022 Kl 13:31:46 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/0b9390ba-ab4d-41a2-9165-0d1a88f58dce ta bort bok Måndag 13 juni 2022 Kl 13:31:46 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/0b9390ba-ab4d-41a2-9165-0d1a88f58dce ta bort bok Måndag 13 juni 2022 Kl 13:31:47 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/0b9390ba-ab4d-41a2-9165-0d1a88f58dce ta bort bok Måndag 13 juni 2022 Kl 13:31:47 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books undefined Måndag 13 juni 2022 Kl 13:31:50 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/0b9390ba-ab4d-41a2-9165-0d1a88f58dce ta bort bok Måndag 13 juni 2022 Kl 13:34:06 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/5a224ce6-49d4-49dd-acf5-cc47acfe02b0 ta bort bok Måndag 13 juni 2022 Kl 13:34:21 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books undefined Måndag 13 juni 2022 Kl 13:34:51 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users undefined Måndag 13 juni 2022 Kl 13:35:00 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users undefined Måndag 13 juni 2022 Kl 13:52:24 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/register skapar ny användare Måndag 13 juni 2022 Kl 13:52:59 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:54:17 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 13:54:26 localhost:4000
Metod: POST | statuskod: 403 | endpoint: /users/lend lånar bok Måndag 13 juni 2022 Kl 13:55:19 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:55:34 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /users/lend lånar bok Måndag 13 juni 2022 Kl 13:55:43 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:55:56 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:57:17 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 13:57:29 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:57:41 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 13:58:31 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /users/lend lånar bok Måndag 13 juni 2022 Kl 13:58:47 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /users/lend lånar bok Måndag 13 juni 2022 Kl 13:58:48 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /users/lend lånar bok Måndag 13 juni 2022 Kl 13:58:57 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /users/lend lånar bok Måndag 13 juni 2022 Kl 13:59:12 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books undefined Måndag 13 juni 2022 Kl 13:59:19 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /users/lend lånar bok Måndag 13 juni 2022 Kl 13:59:30 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 13:59:46 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 13:59:54 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 13:59:55 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 14:00:01 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 14:00:04 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 14:00:25 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /users/return återlämnar bok Måndag 13 juni 2022 Kl 14:00:34 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 14:00:37 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books undefined Måndag 13 juni 2022 Kl 14:01:07 localhost:4000
Metod: PATCH | statuskod: 200 | endpoint: /books/8ae284b4-64a0-4755-a4ba-7809ae644fd3 uppdaterar bok Måndag 13 juni 2022 Kl 14:01:30 localhost:4000
Metod: PATCH | statuskod: 200 | endpoint: /books/e7733c23-f541-49e2-bb05-ef4b20070150 uppdaterar bok Måndag 13 juni 2022 Kl 14:01:54 localhost:4000
Metod: PATCH | statuskod: 200 | endpoint: /books/e7733c23-f541-49e2-bb05-ef4b20070150 uppdaterar bok Måndag 13 juni 2022 Kl 14:02:11 localhost:4000
Metod: PUT | statuskod: 200 | endpoint: /books/378e3059-1eb3-4c21-84d9-bc118b49ff40 undefined Måndag 13 juni 2022 Kl 14:02:25 localhost:4000
Metod: PUT | statuskod: 200 | endpoint: /books/7b15a256-8c0f-4267-838e-a4d497a1f98b undefined Måndag 13 juni 2022 Kl 14:02:50 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/5a224ce6-49d4-49dd-acf5-cc47acfe02b0 ta bort bok Måndag 13 juni 2022 Kl 14:03:10 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /books/7b15a256-8c0f-4267-838e-a4d497a1f98b ta bort bok Måndag 13 juni 2022 Kl 14:03:23 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/0daac7b1-08d9-4dc9-beb3-fd7c7f993ee7 ta bort bok Måndag 13 juni 2022 Kl 14:03:30 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/f223ebff-8c65-485a-be52-9051f15977fb ta bort bok Måndag 13 juni 2022 Kl 14:03:42 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books/1 hämtar en bok Måndag 13 juni 2022 Kl 14:03:47 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books undefined Måndag 13 juni 2022 Kl 14:03:52 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books/e7733c23-f541-49e2-bb05-ef4b20070150 hämtar en bok Måndag 13 juni 2022 Kl 14:04:05 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users undefined Måndag 13 juni 2022 Kl 14:04:18 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 14:04:22 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/login loggar in användare Måndag 13 juni 2022 Kl 14:04:28 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /me hämtar info om inloggad användare Måndag 13 juni 2022 Kl 14:04:31 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books/1 hämtar en bok Måndag 13 juni 2022 Kl 14:05:47 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books/1 hämtar en bok Måndag 13 juni 2022 Kl 14:05:48 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books/available undefined Måndag 13 juni 2022 Kl 14:08:00 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books/available undefined Måndag 13 juni 2022 Kl 16:01:16 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /books/available undefined Måndag 13 juni 2022 Kl 16:01:46 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users undefined Måndag 13 juni 2022 Kl 16:08:02 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users undefined Måndag 13 juni 2022 Kl 16:08:03 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users undefined Måndag 13 juni 2022 Kl 16:08:34 localhost:4000
